 
list-none-m,1,1000,1,3000,10325456,3441,75
list-none-m,2,1000,1,6000,20506625,3417,90
list-none-m,4,1000,1,12000,42278170,3523,2856
list-none-m,8,1000,1,24000,83825346,3492,9354
list-none-m,12,1000,1,36000,167912511,4664,18363
list-none-m,16,1000,1,48000,166403574,3466,16917
list-none-m,24,1000,1,72000,252093369,3501,33778
list-none-s,1,1000,1,3000,10314504,3438,66
list-none-s,2,1000,1,6000,20309230,3384,65
list-none-s,4,1000,1,12000,41578677,3464,66
list-none-s,8,1000,1,24000,147119020,6129,13380
list-none-s,12,1000,1,36000,122958889,3415,66
list-none-s,16,1000,1,48000,447792418,9329,71265
list-none-s,24,1000,1,72000,917694718,12745,140115
list-id-none,1,1,4,3,158788,52929,0
list-id-none,1,2,4,6,159725,26620,0
list-id-none,1,4,4,12,181005,15083,0
list-id-none,1,8,4,24,164123,6838,0
list-id-none,1,16,4,48,169662,3534,0
list-id-m,1,1,4,3,59108,19702,353
list-id-m,1,2,4,6,68679,11446,203
list-id-m,1,4,4,12,62056,5171,136
list-id-m,1,8,4,24,71819,2992,111
list-id-m,1,16,4,48,83240,1734,90
list-id-m,4,1,4,12,147213,12267,7417
list-id-m,4,2,4,24,161459,6727,5208
list-id-m,4,4,4,48,199201,4150,4497
list-id-m,4,8,4,96,263055,2740,2138
list-id-m,4,16,4,192,407359,2121,2497
list-id-m,8,1,4,24,302815,12617,18284
list-id-m,8,2,4,48,387165,8065,11680
list-id-m,8,4,4,96,400285,4169,9937
list-id-m,8,8,4,192,535598,2789,4965
list-id-m,8,16,4,384,885128,2305,8146
list-id-m,12,1,4,36,396762,11021,18135
list-id-m,12,2,4,72,513016,7125,18638
list-id-m,12,4,4,144,587076,4076,16879
list-id-m,12,8,4,288,860006,2986,16220
list-id-m,12,16,4,576,1372099,2382,15932
list-id-m,16,1,4,48,543915,11331,28406
list-id-m,16,2,4,96,644198,6710,21388
list-id-m,16,4,4,192,776778,4045,24633
list-id-m,16,8,4,384,1011139,2633,5893
list-id-m,16,16,4,768,1690328,2200,11951
list-id-s,1,1,4,3,59747,19915,172
list-id-s,1,2,4,6,77816,12969,121
list-id-s,1,4,4,12,63197,5266,94
list-id-s,1,8,4,24,68257,2844,78
list-id-s,1,16,4,48,79104,1648,70
list-id-s,4,1,4,12,124529811,10377484,16594534
list-id-s,4,2,4,24,239852786,9993866,22279954
list-id-s,4,4,4,48,208641436,4346696,9721618
list-id-s,4,8,4,96,141613493,1475140,3395694
list-id-s,4,16,4,192,151685378,790028,1794463
list-id-s,8,1,4,24,443652969,18485540,66643743
list-id-s,8,2,4,48,504736680,10515347,39022785
list-id-s,8,4,4,96,408497062,4255177,21264855
list-id-s,8,8,4,192,1018147355,5302850,29259487
list-id-s,8,16,4,384,1002479565,2610623,14430908
list-id-s,12,1,4,36,613459692,17040547,111750750
list-id-s,12,2,4,72,1059563828,14716164,90981105
list-id-s,12,4,4,144,790311545,5488274,38736780
list-id-s,12,8,4,288,1363426891,4734121,37031127
list-id-s,12,16,4,576,2540303173,4410248,38935668
list-id-s,16,1,4,48,1207479426,25155821,218764967
list-id-s,16,2,4,96,1208484003,12588375,115785778
list-id-s,16,4,4,192,1698303224,8845329,84023777
list-id-s,16,8,4,384,1898506126,4944026,54863240
list-id-s,16,16,4,768,3458278432,4502966,52917737
list-none-m,1,1000,4,3000,3215232,1071,71
list-none-m,2,1000,4,6000,6335128,1055,74
list-none-m,4,1000,4,12000,12532534,1044,72
list-none-m,8,1000,4,24000,25142104,1047,72
list-none-m,12,1000,4,36000,37565562,1043,72
list-none-m,1,1000,8,3000,2047115,682,71
list-none-m,2,1000,8,6000,3965920,660,71
list-none-m,4,1000,8,12000,7705406,642,71
list-none-m,8,1000,8,24000,15635925,651,72
list-none-m,12,1000,8,36000,23145239,642,71
list-none-m,1,1000,16,3000,1488837,496,78
list-none-m,2,1000,16,6000,2823713,470,71
list-none-m,4,1000,16,12000,5349857,445,74
list-none-m,8,1000,16,24000,10626159,442,72
list-none-m,12,1000,16,36000,15909315,441,72
list-none-s,1,1000,4,3000,3157836,1052,62
list-none-s,2,1000,4,6000,6280735,1046,63
list-none-s,4,1000,4,12000,12297071,1024,64
list-none-s,8,1000,4,24000,24849368,1035,63
list-none-s,12,1000,4,36000,36762920,1021,63
list-none-s,1,1000,8,3000,1872526,624,62
list-none-s,2,1000,8,6000,3732729,622,62
list-none-s,4,1000,8,12000,7461951,621,63
list-none-s,8,1000,8,24000,14798165,616,62
list-none-s,12,1000,8,36000,22467288,624,63
list-none-s,1,1000,16,3000,1294559,431,68
list-none-s,2,1000,16,6000,2529918,421,63
list-none-s,4,1000,16,12000,5038149,419,65
list-none-s,8,1000,16,24000,9967044,415,63
list-none-s,12,1000,16,36000,15062899,418,63
